   n               x            f(x)  Nx
   1         -5.0000         74.2099  10
   2         -4.5000         45.0141   9
   3         -4.0000         27.3082   9
   4         -3.5000         16.5728   8
   5         -3.0000         10.0677   7
   6         -2.5000          6.1323   7
   7         -2.0000          3.7622   6
   8         -1.5000          2.3524   5
   9         -1.0000          1.5431   4
  10         -0.5000          1.1276   3
  11          0.0000          1.0000   1
  12          0.5000          1.1276   3
  13          1.0000          1.5431   4
  14          1.5000          2.3524   5
  15          2.0000          3.7622   6
  16          2.5000          6.1323   7
  17          3.0000         10.0677   7
  18          3.5000         16.5728   8
  19          4.0000         27.3082   9
  20          4.5000         45.0141   9
  21          5.0000         74.2099  10
